timestamp,open,high,low,close,volume
2022-04-26,995.4300,1000.0000,875.0000,876.4200,44694524
2022-04-25,978.9700,1008.6200,975.3000,998.0200,22780445
2022-04-22,1014.9100,1034.8500,994.0001,1005.0500,23232186
2022-04-21,1074.7300,1092.2200,996.4150,1008.7800,35138779
2022-04-20,1030.0000,1034.0000,975.2501,977.2000,21616141
2022-04-19,1005.0600,1034.9400,995.3250,1028.1500,16615944
2022-04-18,989.0300,1014.9200,973.4100,1004.2900,17238407
2022-04-14,999.2900,1012.7099,982.1900,985.0000,19474135
2022-04-13,981.0750,1026.2400,973.0970,1022.3700,18373737
2022-04-12,997.6400,1021.1921,976.6001,986.9500,21992032
2022-04-11,980.4000,1008.4681,974.6400,975.9300,19785735
2022-04-08,1043.2100,1048.4400,1022.4350,1025.4900,18337896
2022-04-07,1052.3900,1076.5900,1021.5401,1057.2600,26482353
2022-04-06,1073.4700,1079.0000,1027.7000,1045.7600,29782845
2022-04-05,1136.3000,1152.8700,1087.3000,1091.2600,26192187
2022-04-04,1089.3800,1149.9100,1072.5300,1145.4500,27392567
2022-04-01,1081.1500,1094.7500,1066.6400,1084.5900,18087741
2022-03-31,1094.5700,1103.1399,1076.6410,1077.6000,16330919
2022-03-30,1091.1700,1113.9500,1084.0000,1093.9900,19955002
2022-03-29,1107.9900,1114.7700,1073.1100,1099.5700,24538273
2022-03-28,1065.1000,1097.8799,1053.6000,1091.8400,34168693
2022-03-25,1008.0000,1021.7999,997.3201,1010.6400,20496893
2022-03-24,1009.7300,1024.4900,988.8000,1013.9200,22973626
2022-03-23,979.9400,1040.7000,976.4000,999.1100,40225383
2022-03-22,930.0000,997.8600,921.7500,993.9800,34882278
2022-03-21,914.9800,942.8500,907.0900,921.1600,26640958
2022-03-18,874.4900,907.8500,867.3900,905.3900,33443159
2022-03-17,830.9900,875.0000,825.7178,871.6000,22194324
2022-03-16,809.0000,842.0000,802.2601,840.2300,28009607
2022-03-15,775.2700,805.5700,756.5700,801.8900,22280381
2022-03-14,780.6100,800.7000,756.0400,766.3700,23717421
2022-03-11,840.1970,843.8020,793.7700,795.3500,22345722
2022-03-10,851.4500,854.4500,810.3601,838.3000,19549548
2022-03-09,839.4800,860.5600,832.0100,858.9700,19727993
2022-03-08,795.5300,849.9900,782.1700,824.4000,26799702
2022-03-07,856.3000,866.1400,804.5700,804.5800,24164724
2022-03-04,849.1000,855.6500,825.1609,838.2900,22393287
2022-03-03,878.7700,886.4390,832.6001,839.2900,20541169
2022-03-02,872.1300,886.4800,844.2721,879.8900,24881146
2022-03-01,869.6800,889.8800,853.7800,864.3700,24922287
2022-02-28,815.0100,876.8600,814.7075,870.4300,33002289
2022-02-25,809.2300,819.5000,782.4005,809.8700,25355921
2022-02-24,700.3900,802.4800,700.0000,800.7700,45107425
2022-02-23,830.4300,835.2997,760.5600,764.0400,31752336
2022-02-22,834.1300,856.7338,801.1001,821.5300,27387874
2022-02-18,886.0000,886.8700,837.6100,856.9800,22833947
2022-02-17,913.2600,918.4999,874.1000,876.3500,18392806
2022-02-16,914.0500,926.4299,901.2100,923.3900,17098132
2022-02-15,900.0000,923.0000,893.3774,922.4300,19216514
2022-02-14,861.5700,898.8799,853.1500,875.7600,22585472
2022-02-11,909.6300,915.9600,850.7000,860.0000,26548623
2022-02-10,908.3700,943.8100,896.7000,904.5500,22042277
2022-02-09,935.0000,946.2699,920.0000,932.0000,17419848
2022-02-08,905.5300,926.2899,894.8000,922.0000,16909671
2022-02-07,923.7900,947.7700,902.7089,907.3400,20331488
2022-02-04,897.2200,936.5000,881.1700,923.3200,24541822
2022-02-03,882.0000,937.0000,880.5200,891.1400,26285186
2022-02-02,928.1800,931.5000,889.4100,905.6600,22264345
2022-02-01,935.2100,943.7000,905.0000,931.2500,24379446
2022-01-31,872.7100,937.9900,862.0500,936.7200,34812032
2022-01-28,831.5600,857.5000,792.0100,846.3500,44929650
2022-01-27,933.3600,935.3900,829.0000,829.1000,49036523
2022-01-26,952.4300,987.6900,906.0000,937.4100,34955761
2022-01-25,914.2000,951.2600,903.2100,918.4000,28865302
2022-01-24,904.7600,933.5131,851.4700,930.0000,50791714
2022-01-21,996.3400,1004.5500,940.5000,943.9000,34472009
2022-01-20,1009.7300,1041.6600,994.0000,996.2700,23496248
2022-01-19,1041.7050,1054.6699,995.0000,995.6500,24870215
2022-01-18,1026.6050,1070.7899,1016.0600,1030.5100,22158412
2022-01-14,1019.8800,1052.0000,1013.3788,1049.6100,24308137
2022-01-13,1109.0650,1115.6000,1026.5391,1031.5600,32403264
2022-01-12,1078.8500,1114.8400,1072.5901,1106.2200,27913005
2022-01-11,1053.6700,1075.8500,1038.8200,1064.4000,21593308
2022-01-10,1000.0000,1059.1000,980.0000,1058.1200,30604959
2022-01-07,1080.3700,1080.9299,1010.0000,1026.9600,28054916
2022-01-06,1077.0000,1088.0000,1020.5000,1064.7000,30112158
2022-01-05,1146.6500,1170.3400,1081.0101,1088.1200,26706599
2022-01-04,1189.5500,1208.0000,1123.0500,1149.5900,33416086
2022-01-03,1147.7500,1201.0700,1136.0400,1199.7800,34895349
2021-12-31,1073.4444,1081.9999,1054.5900,1056.7800,13466216
2021-12-30,1061.3300,1095.5500,1053.1500,1070.3400,15680313
2021-12-29,1098.6400,1104.0000,1064.1400,1086.1900,18718015
2021-12-28,1109.4900,1118.9999,1078.4200,1088.4700,20107969
2021-12-27,1073.6700,1117.0000,1070.7152,1093.9400,23715273
2021-12-23,1006.8000,1072.9767,997.5600,1067.0000,30904429
2021-12-22,965.6600,1015.6599,957.0500,1008.8700,31211362
2021-12-21,916.8700,939.5000,886.1200,938.5300,23839305
2021-12-20,910.7000,921.6884,893.3900,899.9400,18826671
2021-12-17,914.7700,960.6599,909.0401,932.5700,33626754
2021-12-16,994.5000,994.9800,921.8500,926.9200,27590483
2021-12-15,953.2100,978.7499,928.2501,975.9900,25056410
2021-12-14,945.0000,966.4100,930.0000,958.5100,23602090
2021-12-13,1001.0900,1005.0000,951.4200,966.4100,26198502
2021-12-10,1008.7500,1020.9797,982.5300,1017.0300,19888122
2021-12-09,1060.6400,1062.4900,1002.3600,1003.8000,19812832
2021-12-08,1052.7100,1072.3800,1033.0001,1068.9600,13968790
2021-12-07,1044.2000,1057.6739,1026.8100,1051.7500,18694857
2021-12-06,1001.5100,1021.6400,950.5000,1009.0100,27221037
2021-12-03,1084.7900,1090.5753,1000.2100,1014.9700,30773995
2021-12-02,1099.0600,1113.0000,1056.6500,1084.6000,24371623
